commentId,text,date
974788139,两市融资余额连续3日增加，累计53.43亿元（10-29）,10-30 08:49
974786219,泸州老窖：融资净买入2.59亿元，两市排名第二（10-29）,10-30 08:42
974785787,泸州老窖盘前回顾(10-29),10-30 08:40
974785636,国窖发力量价齐升，费用下行增厚盈利,10-30 08:39
974784882,三季报点评：Q3业绩超预期，产品升级+费率改善释放利润弹性,10-30 08:35
974780267,"老窖加油,今年过年来一瓶",10-30 08:18
974779220,个根据全会的内容，我更不会卖出老窖了，人民生活水平的提高，喝好的吃好的穿好的非常,10-30 08:11
974778718,这节奏一切都是刚刚好！！！超预期季报，出200研报，拉板，机构出货，出划转国资公,10-30 08:07
974778656,今天会怎么走呢？,10-30 08:07
974778656,今天会怎么走呢？,10-30 08:03
974776001,泸州老窖业绩增速远超茅台，五粮液。老窖曾经是白酒第一，现在正超速追赶茅台，五粮液,10-30 07:50
974765017,华为，苹果、三星，小米，比亚迪，oppo，小米，vivo等知名企业。合力泰（00,10-30 05:26
974753764,我轻轻的问一句，今天的鸡腿已收下！明天还能继续加个鸡腿吗？,10-30 00:39
974752113,明天继续来5个点走人[大笑],10-30 00:15
974746940,老窖真的是低估了，从5月份我就说了，长期持有。,10-29 23:36
974746046,转发,10-29 23:31
974744654,金融危机和新冠疫情中美联储货币政策的异同、影响及启示,10-29 23:20
974743905,泸州老窖今年整体白酒股的估值有上移，不管是龙头茅台，还是一些次高端白酒股。但个人,10-29 23:16
974740546,窖池太少，单纯提价走不远啦，老酒太少，缺乏长远规划，恃曲三百农村喜宴嫌贵，被二百,10-29 23:00
254375376,#2020上市公司三季报解读#泸州老窖三季报简评,10-29 22:54
974739308,机构，游资，散户，再机构吗?,10-29 22:54
974737914,喝白酒容易中风,10-29 22:45
244043356,调仓换股，继续优化组合！！,10-29 22:44
974736117,我怎么预感老窖明天会高开跳水呢！,10-29 22:38
974736116,我怎么预感老窖明天会高开跳水呢！,10-29 22:38
974736183,明天跌停嘛？嗯[大笑],10-29 22:37
229084823,收藏！最新基金重仓股+增持股名单出炉！,10-29 22:29
974733876,干白酒就好啦，这不是牛市么,10-29 22:28
974733550,好酒！,10-29 22:26
974741753,泸州老窖三季报业绩超预期 股价创历史新高,10-29 22:23
974732005,[图片],10-29 22:19
974730109,今天是我们泸州开酒博会第一天，泸州老窖真长脸,10-29 22:11
974726205,600081:东风电子科技股份有限公司发行股份购买资产暨关联交易报告书(草案)公,10-29 21:56
974725775,153就抛了，后悔没坚持啊,10-29 21:54
974720976,高兴就好,10-29 21:39
974720976,高兴就好,10-29 21:32
974717333,会回补今天的缺口,10-29 21:28
974717339,会回补今天的缺口,10-29 21:27
974713698,喝酒开车就是爽，一手把着比亚迪，一手逮着泸州老窖。,10-29 21:15
974711268,180是今年高点[为什么],10-29 21:07
974711268,180是今年高点[为什么],10-29 21:07
104477512,业绩“炸裂”，能代替茅台成新龙头吗，泸州老窖市值将上1万亿？,10-29 21:04
974741753,泸州老窖三季报业绩超预期 股价创历史新高,10-29 22:23
974732005,[图片],10-29 22:19
974730109,今天是我们泸州开酒博会第一天，泸州老窖真长脸,10-29 22:11
974726205,600081:东风电子科技股份有限公司发行股份购买资产暨关联交易报告书(草案)公,10-29 21:56
974725775,153就抛了，后悔没坚持啊,10-29 21:54
974720976,高兴就好,10-29 21:39
974720976,高兴就好,10-29 21:32
974717333,会回补今天的缺口,10-29 21:28
974717339,会回补今天的缺口,10-29 21:27
974713698,喝酒开车就是爽，一手把着比亚迪，一手逮着泸州老窖。,10-29 21:15
974711268,180是今年高点[为什么],10-29 21:07
974711268,180是今年高点[为什么],10-29 21:07
104477512,业绩“炸裂”，能代替茅台成新龙头吗，泸州老窖市值将上1万亿？,10-29 21:04
